stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
106,,BHIKARIPUR CROSSING,,25.284189,82.96846,,,,
107,,DLW,,25.286327,82.968834,,,,
108,,MANDUADIH,,25.296811,82.970031,,,,
109,,NARIA,,25.278859,82.994634,,,,
110,,SUNDERPUR,,25.282525,82.984378,,,,
111,,CANTT BUS STAND,,25.326856,82.988038,,,,
112,,CITY RAILWAY STATION,,25.334144,83.01345,,,,
113,,GOLGADDA,,25.331218,83.017859,,,,
114,,KAZZAKPURA,,25.330582,83.024987,,,,
115,,BHADAU CHOURAHA,,25.326889,83.029549,,,,
116,,RAJGHAT,,25.326709,83.034785,,,,
117,,GIRJAGHAR CHAURAHA,,25.309626,83.005344,,,,
118,,CHETGANJ,,25.317436,83.002466,,,,
119,,LAHURABIR,,25.323975,82.999791,,,,
120,,TALIYABHAG,,25.327688,82.995952,,,,
121,,MALDAHIYA,,25.324263,82.991282,,,,
122,,KABIR CHAURA,,25.31973,83.009175,,,,
123,,MAIDAGIN,,25.318957,83.013142,,,,
124,,PILIKOTHI,,25.326473,83.017572,,,,
